data_date,timestamp,time_window_end,window_minute,area,area_type,ensemble_pred,wait_time_min,congestion_grade,operation_basis,operation_interval_min,im_gate,raw_required_security_lanes,recommended_security_lanes,operation_level,recommendation
2025-09-01,2025-09-01 05:10:00,2025-09-01 05:20:00,310,IM2,security,25.15,4.07,1,실측 10분 85% 분위값,10,IM2,5,12,1단계 기본 운영(12대),IM2 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 05:20:00,2025-09-01 05:30:00,320,IM1,security,97.3,16.05,5,실측 10분 85% 분위값,10,IM1,17,17,3단계 최대 운영(17대),IM1 보안검색대 17대 개방 권장
2025-09-01,2025-09-01 05:20:00,2025-09-01 05:30:00,320,IM2,security,28.0,4.35,2,실측 10분 85% 분위값,10,IM2,5,12,1단계 기본 운영(12대),IM2 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 05:30:00,2025-09-01 05:40:00,330,IM1,security,119.15,22.73,6,실측 10분 85% 분위값,10,IM1,17,17,3단계 최대 운영(17대),IM1 보안검색대 17대 개방 권장
2025-09-01,2025-09-01 05:30:00,2025-09-01 05:40:00,330,IM2,security,36.0,5.2,2,실측 10분 85% 분위값,10,IM2,6,12,1단계 기본 운영(12대),IM2 보안검색대 12대 개방 권장
2025-09-01,2025-09-01 05:40:00,2025-09-01 05:50:00,340,IM1,security,130.45,27.06,6,실측 10분 85% 분위값,10,IM1,17,17,3단계 최대 운영(17대),IM1 보안검색대 17대 개방 권장
2025-09-01,2025-09-01 05:40:00,2025-09-01 05:50:00,340,IM2,security,75.3,11.08,3,실측 10분 85% 분위값,10,IM2,13,15,2단계 확대 운영(15대),IM2 보안검색대 15대 개방 권장
2025-09-01,2025-09-01 05:50:00,2025-09-01 06:00:00,350,IM1,security,151.45,37.12,7,실측 10분 85% 분위값,10,IM1,17,17,3단계 최대 운영(17대),IM1 보안검색대 17대 개방 권장
2025-09-01,2025-09-01 05:50:00,2025-09-01 06:00:00,350,IM2,security,117.15,22.03,5,실측 10분 85% 분위값,10,IM2,17,17,3단계 최대 운영(17대),IM2 보안검색대 17대 개방 권장
2025-09-01,2025-09-01 06:00:00,2025-09-01 06:10:00,360,IM1,security,160.0,42.13,8,실측 10분 85% 분위값,10,IM1,17,17,3단계 최대 운영(17대),IM1 보안검색대 17대 개방 권장
2025-09-01,2025-09-01 06:00:00,2025-09-01 06:10:00,360,IM2,security,127.15,25.72,5,실측 10분 85% 분위값,10,IM2,17,17,3단계 최대 운영(17대),IM2 보안검색대 17대 개방 권장
